Date,Open,High,Low,Close,Adj Close,Volume
2024-03-13,3.390000,3.500000,3.370000,3.440000,3.440000,5770800
2024-03-14,3.410000,3.430000,3.340000,3.370000,3.370000,4906800
2024-03-15,3.400000,3.460000,3.340000,3.440000,3.440000,5415900
2024-03-18,3.420000,3.450000,3.350000,3.350000,3.350000,4135400
2024-03-19,3.300000,3.370000,3.270000,3.280000,3.280000,4184200
2024-03-20,3.250000,3.560000,3.230000,3.510000,3.510000,7112700
2024-03-21,3.580000,3.600000,3.430000,3.430000,3.430000,5528200
2024-03-22,3.420000,3.490000,3.360000,3.390000,3.390000,3646500
2024-03-25,3.440000,3.570000,3.430000,3.480000,3.480000,3639700
2024-03-26,3.560000,3.560000,3.460000,3.470000,3.470000,3489400
2024-03-27,3.490000,3.630000,3.480000,3.620000,3.620000,2891900
2024-03-28,3.670000,3.770000,3.630000,3.730000,3.730000,4550800
2024-04-01,3.850000,3.870000,3.720000,3.830000,3.830000,6628100
2024-04-02,3.850000,4.030000,3.830000,4.020000,4.020000,8285400
2024-04-03,4.030000,4.600000,4.010000,4.570000,4.570000,15107000
2024-04-04,4.480000,4.700000,4.410000,4.530000,4.530000,13301600
2024-04-05,4.400000,4.760000,4.350000,4.710000,4.710000,10941600
2024-04-08,4.800000,4.890000,4.620000,4.680000,4.680000,7842100
2024-04-09,4.790000,4.920000,4.740000,4.800000,4.800000,8380100
2024-04-10,4.570000,4.820000,4.430000,4.740000,4.740000,8149300
2024-04-11,4.790000,4.830000,4.630000,4.770000,4.770000,5492100
2024-04-12,4.900000,4.940000,4.560000,4.610000,4.610000,12744500
2024-04-15,4.660000,4.690000,4.520000,4.580000,4.580000,6723000
2024-04-16,4.440000,4.570000,4.390000,4.540000,4.540000,8069200
2024-04-17,4.560000,4.670000,4.490000,4.570000,4.570000,6661400
2024-04-18,4.600000,4.650000,4.510000,4.510000,4.510000,3889700
2024-04-19,4.500000,4.730000,4.500000,4.650000,4.650000,5309600
2024-04-22,4.380000,4.590000,4.290000,4.490000,4.490000,5641700
2024-04-23,4.450000,4.690000,4.420000,4.660000,4.660000,5553200
2024-04-24,4.630000,4.690000,4.560000,4.640000,4.640000,3741100
2024-04-25,4.640000,4.820000,4.570000,4.780000,4.780000,6437100
2024-04-26,4.840000,4.870000,4.660000,4.770000,4.770000,4629100
2024-04-29,4.790000,4.840000,4.630000,4.690000,4.690000,5620700
2024-04-30,4.540000,4.660000,4.470000,4.540000,4.540000,5798300
2024-05-01,4.590000,4.840000,4.570000,4.690000,4.690000,6644000
2024-05-02,4.630000,4.750000,4.600000,4.680000,4.680000,6349600
2024-05-03,4.720000,4.770000,4.560000,4.590000,4.590000,5440700
2024-05-06,4.740000,4.900000,4.690000,4.850000,4.850000,5686400
2024-05-07,4.890000,4.950000,4.820000,4.940000,4.940000,7794900
2024-05-08,4.900000,5.130000,4.760000,4.810000,4.810000,9560000
2024-05-09,4.900000,5.200000,4.890000,5.180000,5.180000,11460600
2024-05-10,5.210000,5.270000,5.080000,5.210000,5.210000,7797800
2024-05-13,5.140000,5.240000,5.050000,5.080000,5.080000,6182500
2024-05-14,5.110000,5.270000,5.090000,5.250000,5.250000,6596100
2024-05-15,5.330000,5.410000,5.220000,5.350000,5.350000,6935900
2024-05-16,5.300000,5.440000,5.260000,5.430000,5.430000,6380900
2024-05-17,5.500000,5.840000,5.480000,5.840000,5.840000,16308000
2024-05-20,5.930000,5.990000,5.760000,5.920000,5.920000,7062000
2024-05-21,5.850000,5.920000,5.760000,5.830000,5.830000,7272500
2024-05-22,5.750000,5.840000,5.630000,5.710000,5.710000,7485300
2024-05-23,5.640000,5.810000,5.630000,5.790000,5.790000,6970100
2024-05-24,5.900000,6.140000,5.850000,6.080000,6.080000,9214800
2024-05-28,6.330000,6.360000,6.180000,6.260000,6.260000,7926800
2024-05-29,6.150000,6.260000,6.110000,6.190000,6.190000,4954800
2024-05-30,6.160000,6.300000,6.160000,6.230000,6.230000,4598300
2024-05-31,6.270000,6.320000,6.100000,6.240000,6.240000,6499500
2024-06-03,6.250000,6.280000,6.100000,6.200000,6.200000,4206400
2024-06-04,6.070000,6.080000,5.860000,5.910000,5.910000,6886300
2024-06-05,5.310000,5.340000,4.820000,5.070000,5.070000,31118800
2024-06-06,5.110000,5.370000,5.040000,5.290000,5.290000,26640300
2024-06-07,5.080000,5.120000,4.970000,4.970000,4.970000,10187800
2024-06-10,5.040000,5.100000,4.920000,5.070000,5.070000,7541500
2024-06-11,5.000000,5.100000,4.940000,4.960000,4.960000,5870300
2024-06-12,5.120000,5.180000,4.990000,5.010000,5.010000,6992400
2024-06-13,4.990000,5.030000,4.800000,4.880000,4.880000,8749700
2024-06-14,4.990000,4.990000,4.860000,4.890000,4.890000,6033700
